session_key,visitorid,event_count,view_count,addtocart_count,transaction_count,view_to_cart_ratio,unique_items_count,session_age_seconds,inter_event_interval_mean,recency_last_cart_seconds,has_transaction
1000306_88,1000306,2.0,1.0,1.0,0.0,1.0,1.0,5.47,5.472,0.0,0.0
1000306_89,1000306,2.0,1.0,1.0,0.0,1.0,2.0,1337.43,1337.432,0.0,0.0
1000306_91,1000306,3.0,1.0,2.0,0.0,0.5,1.0,0.36,0.18,0.0,0.0
1000306_92,1000306,5.0,4.0,1.0,0.0,4.0,5.0,2575.45,643.862,916.24,0.0
1000306_93,1000306,5.0,3.0,2.0,0.0,1.5,3.0,1439.79,359.947,0.0,0.0
1000306_94,1000306,4.0,2.0,2.0,0.0,1.0,1.0,17.54,5.847,0.0,0.0
1000334_1,1000334,2.0,1.0,1.0,0.0,1.0,1.0,51.07,51.069,0.0,0.0
100033_1,100033,5.0,4.0,1.0,0.0,4.0,4.0,614.79,153.697,402.0,0.0
1000384_2,1000384,4.0,3.0,1.0,0.0,3.0,1.0,2171.9,723.965,905.36,0.0
1000428_2,1000428,2.0,1.0,1.0,0.0,1.0,2.0,162.02,162.016,162.02,0.0
1000454_1,1000454,3.0,1.0,1.0,1.0,1.0,1.0,564.99,282.496,383.46,1.0
1000478_1,1000478,2.0,1.0,1.0,0.0,1.0,1.0,470.93,470.932,0.0,0.0
1000493_1,1000493,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000518_1,1000518,3.0,2.0,1.0,0.0,2.0,1.0,57.84,28.919,30.3,0.0
1000536_1,1000536,2.0,1.0,1.0,0.0,1.0,1.0,152.3,152.296,0.0,0.0
1000561_2,1000561,2.0,1.0,1.0,0.0,1.0,1.0,74.77,74.767,0.0,0.0
1000567_1,1000567,2.0,1.0,1.0,0.0,1.0,1.0,12.12,12.115,0.0,0.0
1000568_1,1000568,2.0,1.0,1.0,0.0,1.0,2.0,157.65,157.648,0.0,0.0
1000568_2,1000568,2.0,0.0,2.0,0.0,0.0,2.0,125.91,125.912,0.0,0.0
1000583_1,1000583,2.0,0.0,1.0,1.0,0.0,1.0,77.31,77.311,77.31,1.0
1000591_1,1000591,8.0,5.0,3.0,0.0,1.6667,5.0,605.21,86.459,0.0,0.0
1000593_1,1000593,7.0,6.0,1.0,0.0,6.0,3.0,1985.53,330.922,1856.64,0.0
1000593_2,1000593,12.0,8.0,2.0,2.0,4.0,7.0,1491.65,135.604,447.87,1.0
1000631_1,1000631,3.0,2.0,1.0,0.0,2.0,1.0,147.95,73.973,97.91,0.0
1000648_1,1000648,2.0,1.0,1.0,0.0,1.0,2.0,38.74,38.744,0.0,0.0
1000652_1,1000652,4.0,3.0,1.0,0.0,3.0,1.0,893.51,297.836,561.74,0.0
1000656_1,1000656,32.0,25.0,4.0,3.0,6.25,23.0,6491.12,209.391,117.96,1.0
1000656_2,1000656,5.0,4.0,1.0,0.0,4.0,1.0,296.24,74.06,218.95,0.0
1000675_1,1000675,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000675_3,1000675,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000677_1,1000677,2.0,1.0,1.0,0.0,1.0,1.0,9.58,9.584,0.0,0.0
1000678_1,1000678,4.0,2.0,1.0,1.0,2.0,2.0,344.17,114.724,145.49,1.0
100067_1,100067,4.0,2.0,1.0,1.0,2.0,1.0,402.13,134.045,181.86,1.0
1000767_1,1000767,4.0,2.0,1.0,1.0,2.0,1.0,328.24,109.413,252.97,1.0
1000782_1,1000782,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000802_1,1000802,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000904_1,1000904,2.0,1.0,1.0,0.0,1.0,1.0,30.09,30.088,0.0,0.0
1000952_1,1000952,3.0,1.0,2.0,0.0,0.5,3.0,59.55,29.773,0.0,0.0
1001042_1,1001042,2.0,1.0,1.0,0.0,1.0,1.0,6.7,6.703,0.0,0.0
100104_2,100104,3.0,2.0,1.0,0.0,2.0,1.0,857.99,428.996,0.0,0.0
100108_1,100108,2.0,1.0,1.0,0.0,1.0,1.0,24.15,24.153,0.0,0.0
1001109_1,1001109,7.0,6.0,1.0,0.0,6.0,5.0,729.41,121.568,729.41,0.0
100116_2,100116,9.0,8.0,1.0,0.0,8.0,5.0,3262.99,407.873,1504.44,0.0
1001200_2,1001200,2.0,1.0,1.0,0.0,1.0,1.0,19.92,19.923,0.0,0.0
1001230_7,1001230,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1001230_9,1001230,4.0,2.0,2.0,0.0,1.0,3.0,202.84,67.612,197.63,0.0
1001248_1,1001248,2.0,1.0,1.0,0.0,1.0,1.0,1196.09,1196.089,0.0,0.0
100125_2,100125,5.0,3.0,2.0,0.0,1.5,2.0,61.65,15.413,42.43,0.0
1001263_1,1001263,3.0,1.0,1.0,1.0,1.0,1.0,293.54,146.772,244.14,1.0
1001270_1,1001270,5.0,3.0,1.0,1.0,3.0,2.0,502.95,125.737,374.34,1.0
1001299_1,1001299,3.0,2.0,1.0,0.0,2.0,1.0,1284.53,642.264,869.52,0.0
1001317_1,1001317,3.0,1.0,1.0,1.0,1.0,1.0,379.31,189.655,253.96,1.0
1001344_2,1001344,2.0,1.0,1.0,0.0,1.0,1.0,37.23,37.229,0.0,0.0
1001360_1,1001360,6.0,5.0,1.0,0.0,5.0,3.0,1812.77,362.553,727.59,0.0
1001365_1,1001365,5.0,2.0,3.0,0.0,0.6667,4.0,1736.0,434.0,0.0,0.0
1001365_2,1001365,10.0,5.0,2.0,3.0,2.5,7.0,1188.75,132.083,611.86,1.0
1001378_1,1001378,5.0,3.0,2.0,0.0,1.5,4.0,192.41,48.102,27.1,0.0
1001427_1,1001427,3.0,0.0,2.0,1.0,0.0,2.0,644.11,322.056,0.0,1.0
1001430_1,1001430,2.0,1.0,1.0,0.0,1.0,1.0,164.67,164.667,0.0,0.0
1001459_2,1001459,6.0,5.0,1.0,0.0,5.0,2.0,1965.2,393.041,1035.89,0.0
1001567_1,1001567,3.0,1.0,1.0,1.0,1.0,1.0,1041.89,520.945,979.01,1.0
1001581_1,1001581,2.0,1.0,1.0,0.0,1.0,1.0,6.91,6.913,0.0,0.0
1001628_1,1001628,5.0,4.0,1.0,0.0,4.0,4.0,543.95,135.988,0.0,0.0
1001673_1,1001673,6.0,2.0,2.0,2.0,1.0,1.0,1123.96,224.793,71.56,1.0
100169_2,100169,7.0,5.0,2.0,0.0,2.5,3.0,1259.89,209.982,86.7,0.0
1001734_2,1001734,3.0,2.0,1.0,0.0,2.0,1.0,34.1,17.051,0.0,0.0
1001736_1,1001736,2.0,1.0,1.0,0.0,1.0,1.0,63.68,63.685,0.0,0.0
1001742_1,1001742,3.0,1.0,2.0,0.0,0.5,1.0,13.77,6.884,0.0,0.0
1001771_1,1001771,3.0,1.0,1.0,1.0,1.0,1.0,1608.76,804.379,755.35,1.0
1001874_1,1001874,7.0,5.0,2.0,0.0,2.5,4.0,1284.79,214.132,188.92,0.0
1001890_1,1001890,3.0,2.0,1.0,0.0,2.0,2.0,15.92,7.958,0.0,0.0
1001901_1,1001901,6.0,4.0,1.0,1.0,4.0,1.0,474.98,94.997,288.32,1.0
1001903_1,1001903,2.0,1.0,1.0,0.0,1.0,1.0,28.52,28.516,0.0,0.0
1001928_1,1001928,2.0,1.0,1.0,0.0,1.0,1.0,28.79,28.787,0.0,0.0
1001937_1,1001937,4.0,2.0,2.0,0.0,1.0,2.0,88.5,29.5,25.84,0.0
100197_2,100197,5.0,3.0,2.0,0.0,1.5,2.0,1262.03,315.508,800.51,0.0
100198_2,100198,4.0,2.0,1.0,1.0,2.0,2.0,335.03,111.678,311.17,1.0
1002032_3,1002032,9.0,8.0,1.0,0.0,8.0,4.0,3772.06,471.508,2785.3,0.0
1002060_1,1002060,3.0,1.0,1.0,1.0,1.0,1.0,1583.99,791.997,1574.96,1.0
1002107_1,1002107,4.0,2.0,1.0,1.0,2.0,1.0,667.81,222.605,667.81,1.0
1002124_1,1002124,6.0,2.0,4.0,0.0,0.5,2.0,93.25,18.65,0.0,0.0
1002150_1,1002150,7.0,4.0,3.0,0.0,1.3333,6.0,1784.67,297.445,1330.57,0.0
1002153_1,1002153,2.0,0.0,2.0,0.0,0.0,1.0,4.44,4.437,0.0,0.0
1002162_1,1002162,4.0,2.0,1.0,1.0,2.0,1.0,334.38,111.459,112.53,1.0
100218_1,100218,34.0,32.0,2.0,0.0,16.0,28.0,3706.18,112.308,991.2,0.0
1002231_11,1002231,8.0,6.0,2.0,0.0,3.0,3.0,511.96,73.137,0.0,0.0
100226_4,100226,5.0,4.0,1.0,0.0,4.0,2.0,1017.78,254.444,537.66,0.0
100227_1,100227,5.0,4.0,1.0,0.0,4.0,3.0,1666.4,416.601,1654.36,0.0
1002312_1,1002312,5.0,3.0,2.0,0.0,1.5,4.0,3274.31,818.578,0.0,0.0
1002383_1,1002383,2.0,1.0,1.0,0.0,1.0,1.0,1.05,1.049,0.0,0.0
10023_1,10023,11.0,7.0,2.0,2.0,3.5,6.0,1482.05,148.205,634.78,1.0
1002400_1,1002400,15.0,3.0,12.0,0.0,0.25,14.0,991.88,70.849,184.35,0.0
1002418_2,1002418,2.0,1.0,1.0,0.0,1.0,1.0,16.22,16.224,0.0,0.0
1002419_1,1002419,10.0,5.0,3.0,2.0,1.6667,3.0,2068.54,229.838,579.63,1.0
1002430_2,1002430,12.0,6.0,6.0,0.0,1.0,6.0,874.4,79.49,0.0,0.0
1002471_2,1002471,2.0,0.0,1.0,1.0,0.0,1.0,145.63,145.631,145.63,1.0
1002472_1,1002472,2.0,1.0,1.0,0.0,1.0,1.0,84.29,84.289,0.0,0.0
1002478_1,1002478,7.0,5.0,1.0,1.0,5.0,3.0,342.59,57.098,201.45,1.0
1002583_1,1002583,3.0,1.0,1.0,1.0,1.0,1.0,629.84,314.92,177.23,1.0
10025_2,10025,6.0,5.0,1.0,0.0,5.0,2.0,343.86,68.772,319.05,0.0
1002604_1,1002604,3.0,2.0,1.0,0.0,2.0,1.0,182.39,91.195,52.63,0.0
1002655_2,1002655,4.0,3.0,1.0,0.0,3.0,4.0,271.77,90.589,271.77,0.0
1002773_9,1002773,3.0,2.0,1.0,0.0,2.0,2.0,1310.87,655.436,1166.9,0.0
1002826_1,1002826,2.0,1.0,1.0,0.0,1.0,1.0,75.22,75.219,0.0,0.0
1002960_1,1002960,6.0,4.0,2.0,0.0,2.0,2.0,1262.6,252.52,1213.1,0.0
1002973_1,1002973,4.0,2.0,1.0,1.0,2.0,1.0,1268.3,422.766,314.27,1.0
1003058_1,1003058,2.0,0.0,1.0,1.0,0.0,1.0,40.62,40.62,40.62,1.0
1003058_10,1003058,3.0,1.0,1.0,1.0,1.0,1.0,139.53,69.766,129.96,1.0
1003058_11,1003058,3.0,1.0,1.0,1.0,1.0,1.0,42.1,21.053,41.2,1.0
1003058_12,1003058,3.0,1.0,1.0,1.0,1.0,1.0,35.6,17.802,34.1,1.0
1003058_13,1003058,3.0,1.0,1.0,1.0,1.0,1.0,32.77,16.383,28.3,1.0
1003058_4,1003058,3.0,1.0,1.0,1.0,1.0,1.0,45.84,22.918,43.7,1.0
1003058_5,1003058,2.0,0.0,1.0,1.0,0.0,1.0,30.11,30.11,30.11,1.0
1003058_6,1003058,2.0,0.0,1.0,1.0,0.0,1.0,31.42,31.42,31.42,1.0
1003058_7,1003058,3.0,1.0,1.0,1.0,1.0,1.0,36.04,18.021,35.6,1.0
1003058_8,1003058,3.0,1.0,1.0,1.0,1.0,1.0,178.82,89.408,176.62,1.0
1003058_9,1003058,3.0,1.0,1.0,1.0,1.0,1.0,138.44,69.218,35.57,1.0
1003087_2,1003087,8.0,7.0,1.0,0.0,7.0,6.0,249.5,35.642,0.0,0.0
1003087_3,1003087,14.0,12.0,2.0,0.0,6.0,9.0,480.7,36.977,450.97,0.0
1003087_4,1003087,7.0,2.0,3.0,2.0,0.6667,3.0,2115.98,352.664,144.48,1.0
1003148_1,1003148,5.0,4.0,1.0,0.0,4.0,2.0,274.8,68.7,225.36,0.0
1003148_2,1003148,5.0,4.0,1.0,0.0,4.0,3.0,194.94,48.735,23.2,0.0
1003152_1,1003152,5.0,3.0,1.0,1.0,3.0,2.0,380.76,95.191,174.29,1.0
1003168_2,1003168,2.0,1.0,1.0,0.0,1.0,1.0,63.3,63.295,0.0,0.0
1003169_1,1003169,9.0,6.0,3.0,0.0,2.0,6.0,1534.67,191.834,511.98,0.0
1003169_3,1003169,3.0,2.0,1.0,0.0,2.0,2.0,114.62,57.312,83.32,0.0
1003196_2,1003196,2.0,1.0,1.0,0.0,1.0,1.0,18.53,18.527,0.0,0.0
1003261_1,1003261,2.0,1.0,1.0,0.0,1.0,1.0,39.28,39.283,0.0,0.0
1003401_1,1003401,2.0,1.0,1.0,0.0,1.0,1.0,137.57,137.57,0.0,0.0
1003451_2,1003451,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1003477_1,1003477,5.0,3.0,2.0,0.0,1.5,2.0,119.58,29.896,97.55,0.0
1003539_1,1003539,3.0,1.0,2.0,0.0,0.5,2.0,16.01,8.006,0.0,0.0
1003558_1,1003558,6.0,5.0,1.0,0.0,5.0,3.0,199.49,39.898,58.75,0.0
1003580_1,1003580,2.0,0.0,1.0,1.0,0.0,1.0,67.34,67.345,67.34,1.0
1003715_2,1003715,7.0,6.0,1.0,0.0,6.0,5.0,701.8,116.967,78.13,0.0
1003716_1,1003716,4.0,3.0,1.0,0.0,3.0,3.0,103.28,34.427,23.15,0.0
1003734_1,1003734,2.0,1.0,1.0,0.0,1.0,2.0,169.78,169.783,0.0,0.0
1003738_1,1003738,8.0,6.0,2.0,0.0,3.0,4.0,257.88,36.84,24.05,0.0
1003762_1,1003762,2.0,1.0,1.0,0.0,1.0,1.0,17.86,17.857,0.0,0.0
1003787_1,1003787,4.0,2.0,1.0,1.0,2.0,1.0,387.69,129.231,293.3,1.0
1003846_1,1003846,13.0,10.0,3.0,0.0,3.3333,7.0,1893.52,157.793,351.13,0.0
100386_1,100386,3.0,2.0,1.0,0.0,2.0,2.0,355.66,177.83,0.0,0.0
1003939_9,1003939,3.0,1.0,1.0,1.0,1.0,1.0,566.7,283.348,207.46,1.0
1003995_1,1003995,3.0,2.0,1.0,0.0,2.0,1.0,507.11,253.553,458.57,0.0
1004001_1,1004001,2.0,1.0,1.0,0.0,1.0,1.0,44.38,44.377,0.0,0.0
1004025_1,1004025,7.0,6.0,1.0,0.0,6.0,3.0,370.24,61.707,0.0,0.0
1004051_1,1004051,3.0,2.0,1.0,0.0,2.0,1.0,994.5,497.25,930.4,0.0
1004054_1,1004054,6.0,5.0,1.0,0.0,5.0,5.0,381.03,76.207,0.0,0.0
1004059_1,1004059,2.0,1.0,1.0,0.0,1.0,1.0,213.08,213.075,0.0,0.0
1004061_1,1004061,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1004063_1,1004063,3.0,2.0,1.0,0.0,2.0,1.0,798.33,399.166,741.04,0.0
1004088_1,1004088,8.0,4.0,2.0,2.0,2.0,2.0,241.68,34.525,155.24,1.0
1004102_1,1004102,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1004110_1,1004110,3.0,1.0,1.0,1.0,1.0,1.0,852.61,426.305,177.54,1.0
1004146_1,1004146,3.0,2.0,1.0,0.0,2.0,1.0,160.53,80.264,0.0,0.0
1004165_1,1004165,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1004213_1,1004213,4.0,2.0,1.0,1.0,2.0,1.0,628.72,209.572,543.21,1.0
1004229_2,1004229,4.0,2.0,2.0,0.0,1.0,2.0,344.7,114.899,0.0,0.0
1004238_1,1004238,9.0,7.0,1.0,1.0,7.0,2.0,1139.39,142.424,1133.11,1.0
1004294_1,1004294,4.0,3.0,1.0,0.0,3.0,1.0,993.65,331.218,661.06,0.0
1004324_1,1004324,2.0,1.0,1.0,0.0,1.0,2.0,76.45,76.446,76.45,0.0
1004349_1,1004349,2.0,1.0,1.0,0.0,1.0,1.0,38.54,38.543,0.0,0.0
1004377_1,1004377,3.0,2.0,1.0,0.0,2.0,2.0,2349.82,1174.912,2349.82,0.0
100439_4,100439,25.0,23.0,1.0,1.0,23.0,17.0,1935.47,80.645,1233.37,1.0
1004416_1,1004416,2.0,1.0,1.0,0.0,1.0,1.0,37.35,37.346,0.0,0.0
100446_1,100446,2.0,1.0,1.0,0.0,1.0,1.0,33.34,33.34,0.0,0.0
1004496_2,1004496,6.0,2.0,4.0,0.0,0.5,3.0,95.68,19.135,0.0,0.0
1004518_1,1004518,5.0,1.0,4.0,0.0,0.25,2.0,1257.54,314.385,0.0,0.0
1004543_1,1004543,4.0,2.0,1.0,1.0,2.0,1.0,1208.96,402.987,342.89,1.0
1004573_1,1004573,15.0,13.0,1.0,1.0,13.0,5.0,3187.27,227.662,1837.14,1.0
100459_1,100459,5.0,3.0,1.0,1.0,3.0,3.0,647.83,161.957,595.75,1.0
1004710_1,1004710,4.0,3.0,1.0,0.0,3.0,2.0,1299.24,433.079,0.0,0.0
1004711_1,1004711,4.0,2.0,1.0,1.0,2.0,1.0,1290.78,430.261,180.04,1.0
1004714_1,1004714,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1004740_1,1004740,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1004820_1,1004820,2.0,1.0,1.0,0.0,1.0,2.0,271.38,271.384,0.0,0.0
1004871_2,1004871,2.0,0.0,1.0,1.0,0.0,1.0,82.53,82.534,82.53,1.0
1004897_1,1004897,13.0,12.0,1.0,0.0,12.0,4.0,1878.8,156.566,127.65,0.0
1004954_1,1004954,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1005001_3,1005001,3.0,1.0,1.0,1.0,1.0,1.0,131.16,65.578,77.17,1.0
1005010_2,1005010,5.0,3.0,1.0,1.0,3.0,1.0,1370.97,342.742,203.09,1.0
1005052_1,1005052,3.0,1.0,1.0,1.0,1.0,1.0,448.13,224.064,234.6,1.0
1005084_1,1005084,4.0,3.0,1.0,0.0,3.0,1.0,2636.35,878.783,1326.38,0.0
1005141_1,1005141,13.0,12.0,1.0,0.0,12.0,11.0,1784.99,148.749,1665.67,0.0
1005141_2,1005141,18.0,14.0,2.0,2.0,7.0,6.0,3831.36,225.374,3471.21,1.0
1005153_1,1005153,14.0,12.0,1.0,1.0,12.0,3.0,1371.57,105.505,1166.18,1.0
1005221_1,1005221,6.0,5.0,1.0,0.0,5.0,3.0,109.63,21.927,14.46,0.0
1005222_1,1005222,4.0,3.0,1.0,0.0,3.0,2.0,512.27,170.758,0.0,0.0
1005223_1,1005223,8.0,6.0,1.0,1.0,6.0,1.0,913.09,130.441,91.87,1.0
1005223_5,1005223,3.0,1.0,1.0,1.0,1.0,1.0,261.91,130.957,225.26,1.0
1005234_1,1005234,3.0,2.0,1.0,0.0,2.0,1.0,225.95,112.974,0.0,0.0
1005247_3,1005247,49.0,42.0,7.0,0.0,6.0,14.0,9647.55,200.991,750.05,0.0
1005286_1,1005286,4.0,3.0,1.0,0.0,3.0,1.0,262.74,87.581,253.0,0.0
1005330_1,1005330,9.0,5.0,2.0,2.0,2.5,4.0,1146.04,143.255,1123.65,1.0
1005397_1,1005397,4.0,2.0,1.0,1.0,2.0,2.0,341.36,113.786,231.98,1.0
100539_1,100539,3.0,1.0,1.0,1.0,1.0,1.0,557.98,278.992,322.25,1.0
1005423_1,1005423,22.0,21.0,1.0,0.0,21.0,18.0,1291.36,61.493,650.93,0.0
1005426_1,1005426,5.0,3.0,2.0,0.0,1.5,2.0,502.99,125.747,0.0,0.0
1005432_1,1005432,2.0,1.0,1.0,0.0,1.0,2.0,181.84,181.839,0.0,0.0
1005546_1,1005546,2.0,1.0,1.0,0.0,1.0,1.0,8.9,8.9,0.0,0.0
1005558_2,1005558,15.0,14.0,1.0,0.0,14.0,4.0,657.13,46.938,171.79,0.0
1005558_3,1005558,42.0,25.0,8.0,9.0,3.125,17.0,4965.84,121.118,1767.33,1.0
1005613_1,1005613,5.0,1.0,2.0,2.0,0.5,2.0,1643.55,410.887,44.94,1.0
1005670_3,1005670,13.0,12.0,1.0,0.0,12.0,11.0,862.71,71.892,862.71,0.0
1005723_1,1005723,4.0,2.0,1.0,1.0,2.0,1.0,407.8,135.933,377.46,1.0
1005751_2,1005751,23.0,22.0,1.0,0.0,22.0,12.0,3820.43,173.656,0.0,0.0
1005756_1,1005756,3.0,2.0,1.0,0.0,2.0,1.0,105.59,52.795,71.24,0.0
1005779_1,1005779,6.0,5.0,1.0,0.0,5.0,2.0,652.92,130.583,0.0,0.0
1005820_1,1005820,7.0,0.0,7.0,0.0,0.0,7.0,163.26,27.209,0.0,0.0
1005822_1,1005822,5.0,3.0,1.0,1.0,3.0,1.0,277.95,69.487,57.67,1.0
1005861_1,1005861,2.0,1.0,1.0,0.0,1.0,1.0,56.66,56.664,0.0,0.0
1005867_1,1005867,14.0,8.0,3.0,3.0,2.6667,7.0,2109.22,162.248,319.65,1.0
1005876_1,1005876,2.0,1.0,1.0,0.0,1.0,1.0,105.76,105.756,0.0,0.0
1005896_1,1005896,5.0,3.0,2.0,0.0,1.5,2.0,252.32,63.079,208.75,0.0
1005946_3,1005946,7.0,4.0,3.0,0.0,1.3333,3.0,1474.26,245.71,1468.72,0.0
1006067_1,1006067,3.0,1.0,1.0,1.0,1.0,1.0,175.08,87.541,152.89,1.0
1006114_1,1006114,6.0,4.0,1.0,1.0,4.0,2.0,902.42,180.483,130.92,1.0
1006122_1,1006122,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1006159_1,1006159,2.0,1.0,1.0,0.0,1.0,1.0,309.41,309.408,0.0,0.0
1006162_3,1006162,3.0,2.0,1.0,0.0,2.0,1.0,642.56,321.282,0.0,0.0
1006165_3,1006165,2.0,1.0,1.0,0.0,1.0,1.0,34.92,34.92,0.0,0.0
1006262_1,1006262,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1006265_1,1006265,2.0,1.0,1.0,0.0,1.0,1.0,53.17,53.17,0.0,0.0
1006269_1,1006269,3.0,2.0,1.0,0.0,2.0,2.0,99.66,49.83,38.79,0.0
1006351_1,1006351,3.0,2.0,1.0,0.0,2.0,1.0,138.14,69.068,105.12,0.0
1006359_2,1006359,4.0,1.0,1.0,2.0,1.0,1.0,459.37,153.123,454.08,1.0
1006407_1,1006407,10.0,6.0,2.0,2.0,3.0,4.0,4040.43,448.936,1975.81,1.0
1006418_1,1006418,3.0,2.0,1.0,0.0,2.0,1.0,60.71,30.356,0.0,0.0
1006424_1,1006424,5.0,3.0,2.0,0.0,1.5,2.0,117.35,29.338,0.0,0.0
1006444_3,1006444,5.0,4.0,1.0,0.0,4.0,1.0,848.83,212.207,807.16,0.0
1006449_1,1006449,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1006449_2,1006449,3.0,2.0,1.0,0.0,2.0,1.0,3118.69,1559.346,0.0,0.0
1006452_1,1006452,8.0,6.0,2.0,0.0,3.0,6.0,1493.86,213.409,0.0,0.0
1006460_1,1006460,2.0,1.0,1.0,0.0,1.0,1.0,52.32,52.316,0.0,0.0
1006506_1,1006506,2.0,1.0,1.0,0.0,1.0,1.0,48.76,48.763,0.0,0.0
1006522_1,1006522,7.0,1.0,3.0,3.0,0.3333,3.0,419.41,69.902,142.16,1.0
1006557_2,1006557,5.0,3.0,1.0,1.0,3.0,2.0,998.1,249.525,325.94,1.0
1006583_1,1006583,2.0,1.0,1.0,0.0,1.0,1.0,170.82,170.817,0.0,0.0
1006587_1,1006587,7.0,6.0,1.0,0.0,6.0,1.0,602.94,100.49,543.8,0.0
1006602_3,1006602,4.0,3.0,1.0,0.0,3.0,3.0,473.58,157.86,344.63,0.0
1006613_2,1006613,3.0,2.0,1.0,0.0,2.0,2.0,1680.96,840.479,0.0,0.0
100662_1,100662,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1006634_1,1006634,2.0,1.0,1.0,0.0,1.0,1.0,22.68,22.68,0.0,0.0
1006729_2,1006729,2.0,1.0,1.0,0.0,1.0,2.0,1329.58,1329.585,0.0,0.0
1006744_1,1006744,3.0,2.0,1.0,0.0,2.0,1.0,199.08,99.542,0.0,0.0
1006744_3,1006744,2.0,1.0,1.0,0.0,1.0,1.0,218.93,218.932,0.0,0.0
1006752_1,1006752,2.0,1.0,1.0,0.0,1.0,2.0,187.38,187.378,0.0,0.0
100675_1,100675,5.0,3.0,2.0,0.0,1.5,3.0,882.76,220.69,0.0,0.0
100675_2,100675,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100675_3,100675,4.0,3.0,1.0,0.0,3.0,2.0,350.94,116.981,0.0,0.0
100676_1,100676,2.0,1.0,1.0,0.0,1.0,1.0,22.86,22.861,0.0,0.0
1006835_1,1006835,6.0,5.0,1.0,0.0,5.0,5.0,781.44,156.288,0.0,0.0
1006883_2,1006883,5.0,3.0,2.0,0.0,1.5,2.0,564.23,141.057,0.0,0.0
1006929_1,1006929,2.0,1.0,1.0,0.0,1.0,1.0,163.57,163.566,0.0,0.0
